finding_id,repo,commit,rule_id,title,claim,file,line,end_line,source_context,schema_excerpt,double_label,label,fp_cause,rationale,label_2,fp_cause_2,rationale_2
R01-011,AstorisTheBrave/Rostra,6a7e5ecf03be068c3f3cb3cc4b14a45dae543925,MISSING_PAGINATION,Unpaginated `autoResponder.findMany()`,"`autoResponder.findMany()` in `getResponders` has no `take`, `skip` or `cursor`, so it returns every AutoResponder row matching its filter.",src/modules/extras/service.ts,68,,"  58 | export interface Responder {
  59 | 	trigger: string;
  60 | 	response: string;
  61 | }
  62 | 
  63 | const responders = new Map<string, Responder[]>();
  64 | 
  65 | export async function getResponders(guildId: string): Promise<Responder[]> {
  66 | 	const cached = responders.get(guildId);
  67 | 	if (cached) return cached;
> 68 | 	const rows = await getPrisma().autoResponder.findMany({ where: { guildId } });
  69 | 	const list = rows.map((r) => ({ trigger: r.trigger.toLowerCase(), response: r.response }));
  70 | 	responders.set(guildId, list);
  71 | 	return list;
  72 | }
  73 | 
  74 | export async function addResponder(
  75 | 	guildId: string,
  76 | 	trigger: string,
  77 | 	response: string,
  78 | ): Promise<void> {","model AutoResponder {
  id       String @id @default(cuid())
  guildId  String
  trigger  String
  response String

  @@unique([guildId, trigger])
  @@index([guildId])
}",no,,,,,,
R01-012,AstorisTheBrave/Rostra,6a7e5ecf03be068c3f3cb3cc4b14a45dae543925,MISSING_PAGINATION,Unpaginated `feedSubscription.findMany()`,"`feedSubscription.findMany()` in `listSubs` has no `take`, `skip` or `cursor`, so it returns every FeedSubscription row matching its filter.",src/modules/feeds/service.ts,36,,"  26 | 		create: data,
  27 | 		update: {
  28 | 			channelId: data.channelId,
  29 | 			sourceName: data.sourceName,
  30 | 			mention: data.mention ?? null,
  31 | 		},
  32 | 	});
  33 | }
  34 | 
  35 | export async function listSubs(guildId: string): Promise<FeedSubscription[]> {
> 36 | 	return getPrisma().feedSubscription.findMany({
  37 | 		where: { guildId },
  38 | 		orderBy: { createdAt: ""asc"" },
  39 | 	});
  40 | }
  41 | 
  42 | export async function removeSub(id: string, guildId: string): Promise<boolean> {
  43 | 	const res = await getPrisma().feedSubscription.deleteMany({ where: { id, guildId } });
  44 | 	return res.count > 0;
  45 | }
  46 | ","model FeedSubscription {
  id         String   @id @default(cuid())
  guildId    String
  channelId  String
  type       String // ""youtube"" | ""twitch""
  sourceId   String // YouTube channel id (UC...) or Twitch login
  sourceName String?
  lastItemId String? // last video id / last live stream id seen
  mention    String? // role id, ""everyone"", or null
  createdAt  DateTime @default(now())

  @@unique([guildId, type, sourceId])
  @@index([guildId])
}",no,,,,,,
R01-013,AstorisTheBrave/Rostra,6a7e5ecf03be068c3f3cb3cc4b14a45dae543925,MISSING_PAGINATION,Unpaginated `feedSubscription.findMany()`,"`feedSubscription.findMany()` in `allSubs` has no `take`, `skip` or `cursor`, and no filter, so it returns the entire FeedSubscription table.",src/modules/feeds/service.ts,48,,"  38 | 		orderBy: { createdAt: ""asc"" },
  39 | 	});
  40 | }
  41 | 
  42 | export async function removeSub(id: string, guildId: string): Promise<boolean> {
  43 | 	const res = await getPrisma().feedSubscription.deleteMany({ where: { id, guildId } });
  44 | 	return res.count > 0;
  45 | }
  46 | 
  47 | async function allSubs(): Promise<FeedSubscription[]> {
> 48 | 	return getPrisma().feedSubscription.findMany();
  49 | }
  50 | 
  51 | async function setLastItem(id: string, lastItemId: string | null): Promise<void> {
  52 | 	await getPrisma().feedSubscription.updateMany({ where: { id }, data: { lastItemId } });
  53 | }
  54 | 
  55 | // ── YouTube (keyless RSS) ────────────────────────────────────────────────────
  56 | 
  57 | export interface YouTubeVideo {
  58 | 	videoId: string;","model FeedSubscription {
  id         String   @id @default(cuid())
  guildId    String
  channelId  String
  type       String // ""youtube"" | ""twitch""
  sourceId   String // YouTube channel id (UC...) or Twitch login
  sourceName String?
  lastItemId String? // last video id / last live stream id seen
  mention    String? // role id, ""everyone"", or null
  createdAt  DateTime @default(now())

  @@unique([guildId, type, sourceId])
  @@index([guildId])
}",yes,,,,,,
R01-014,AstorisTheBrave/Rostra,6a7e5ecf03be068c3f3cb3cc4b14a45dae543925,MISSING_PAGINATION,Unpaginated `giveaway.findMany()`,"`giveaway.findMany()` in `getActive` has no `take`, `skip` or `cursor`, so it returns every Giveaway row matching its filter.",src/modules/giveaways/service.ts,100,,"   90 | 	if (!giveaway) return null;
   91 | 	const winners = pickWinners(giveaway.entries, giveaway.winners);
   92 | 	if (!giveaway.ended) {
   93 | 		await getPrisma().giveaway.update({ where: { id }, data: { ended: true } });
   94 | 	}
   95 | 	return { giveaway, winners };
   96 | }
   97 | 
   98 | /** Active (not-ended) giveaways, optionally scoped to a guild. */
   99 | export async function getActive(guildId?: string): Promise<Giveaway[]> {
> 100 | 	return getPrisma().giveaway.findMany({
  101 | 		where: { ended: false, ...(guildId ? { guildId } : {}) },
  102 | 	});
  103 | }","model Giveaway {
  id        String   @id @default(cuid())
  guildId   String
  channelId String
  messageId String?
  prize     String
  winners   Int      @default(1)
  hostId    String
  endsAt    DateTime
  ended     Boolean  @default(false)
  entries   String[] @default([])
  reqRoleId String? // must have this role to enter
  reqLevel  Int      @default(0) // must be at least this leveling level (0 = no requirement)
  reqAccountDays Int @default(0) // account must be at least this many days old (0 = no requirement)
  createdAt DateTime @default(now())

  @@index([guildId, ended])
  @@index([ended])
}",no,,,,,,
R01-015,AstorisTheBrave/Rostra,6a7e5ecf03be068c3f3cb3cc4b14a45dae543925,MISSING_PAGINATION,Unpaginated `highlight.findMany()`,"`highlight.findMany()` in `getGuildHighlights` has no `take`, `skip` or `cursor`, so it returns every Highlight row matching its filter.",src/modules/highlight/service.ts,22,,"  12 | const NOTIFY_COOLDOWN_MS = 60_000; // per (guild,user) - avoid DM spam
  13 | const ACTIVE_WINDOW_MS = 5 * 60_000; // skip if the subscriber spoke here recently
  14 | 
  15 | const cache = new Map<string, Highlight[]>();
  16 | const lastNotified = new Map<string, number>(); // `${guildId}:${userId}` -> ts
  17 | const lastActive = new Map<string, number>(); // `${channelId}:${userId}` -> ts
  18 | 
  19 | export async function getGuildHighlights(guildId: string): Promise<Highlight[]> {
  20 | 	const hit = cache.get(guildId);
  21 | 	if (hit) return hit;
> 22 | 	const rows = await getPrisma().highlight.findMany({ where: { guildId } });
  23 | 	cache.set(guildId, rows);
  24 | 	return rows;
  25 | }
  26 | 
  27 | export async function listHighlights(guildId: string, userId: string): Promise<string[]> {
  28 | 	const rows = await getGuildHighlights(guildId);
  29 | 	return rows.filter((h) => h.userId === userId).map((h) => h.word);
  30 | }
  31 | 
  32 | export async function addHighlight(","model Highlight {
  id        String   @id @default(cuid())
  guildId   String
  userId    String
  word      String // stored lowercased
  createdAt DateTime @default(now())

  @@unique([guildId, userId, word])
  @@index([guildId])
}",no,,,,,,
R01-016,AstorisTheBrave/Rostra,6a7e5ecf03be068c3f3cb3cc4b14a45dae543925,MISSING_PAGINATION,Unpaginated `levelReward.findMany()`,"`levelReward.findMany()` in `getRewards` has no `take`, `skip` or `cursor`, so it returns every LevelReward row matching its filter.",src/modules/leveling/service.ts,100,,"   90 | 	await getPrisma().levelUser.upsert({
   91 | 		where: { guildId_userId: { guildId, userId } },
   92 | 		create: { guildId, userId, xp, level },
   93 | 		update: { xp, level },
   94 | 	});
   95 | 	const redis = getRedis();
   96 | 	if (redis) await redis.zadd(`lb:level:${guildId}`, xp, userId).catch(() => {});
   97 | }
   98 | 
   99 | export async function getRewards(guildId: string): Promise<{ level: number; roleId: string }[]> {
> 100 | 	return getPrisma().levelReward.findMany({ where: { guildId }, orderBy: { level: ""asc"" } });
  101 | }
  102 | 
  103 | export async function setReward(guildId: string, level: number, roleId: string): Promise<void> {
  104 | 	await getPrisma().levelReward.upsert({
  105 | 		where: { guildId_level: { guildId, level } },
  106 | 		create: { guildId, level, roleId },
  107 | 		update: { roleId },
  108 | 	});
  109 | }
  110 | ","model LevelReward {
  guildId String
  level   Int
  roleId  String

  @@id([guildId, level])
  @@index([guildId])
}",no,,,,,,
R01-017,AstorisTheBrave/Rostra,6a7e5ecf03be068c3f3cb3cc4b14a45dae543925,MISSING_INDEX_ON_FILTERED_FIELD,"No declared index covers the filter on ModmailConfig.enabled, channelId","`modmailConfig.findMany()` in `enabledModmailGuildIds` filters ModmailConfig by `enabled`, `channelId`, but schema.prisma declares no index whose leading column is any of these. Without one, PostgreSQL must scan the table for every call.",src/modules/modmail/service.ts,75,,"  65 | 
  66 | /** Plain, serializable user info that can cross a shard boundary (no User object). */
  67 | export interface ModmailUser {
  68 | 	id: string;
  69 | 	tag: string;
  70 | 	username: string;
  71 | }
  72 | 
  73 | /** Guild ids with modmail enabled and a channel set (small set, queried fresh). */
  74 | export async function enabledModmailGuildIds(): Promise<string[]> {
> 75 | 	const rows = await getPrisma().modmailConfig.findMany({
  76 | 		where: { enabled: true, channelId: { not: null } },
  77 | 		select: { guildId: true },
  78 | 	});
  79 | 	return rows.map((r) => r.guildId);
  80 | }
  81 | 
  82 | export interface ModmailTarget {
  83 | 	guildId: string;
  84 | 	shardId: number;
  85 | }","model ModmailConfig {
  guildId      String   @id
  channelId    String? // staff parent channel where modmail threads are created
  enabled      Boolean  @default(false)
  appealOnly   Boolean  @default(false) // only members with a moderation case may open a thread
  blockedUsers String[] @default([]) // user ids barred from opening modmail
  createdAt    DateTime @default(now())
  updatedAt    DateTime @updatedAt
}",no,,,,,,
R01-018,AstorisTheBrave/Rostra,6a7e5ecf03be068c3f3cb3cc4b14a45dae543925,MISSING_PAGINATION,Unpaginated `modmailConfig.findMany()`,"`modmailConfig.findMany()` in `enabledModmailGuildIds` has no `take`, `skip` or `cursor`, so it returns every ModmailConfig row matching its filter.",src/modules/modmail/service.ts,75,,"  65 | 
  66 | /** Plain, serializable user info that can cross a shard boundary (no User object). */
  67 | export interface ModmailUser {
  68 | 	id: string;
  69 | 	tag: string;
  70 | 	username: string;
  71 | }
  72 | 
  73 | /** Guild ids with modmail enabled and a channel set (small set, queried fresh). */
  74 | export async function enabledModmailGuildIds(): Promise<string[]> {
> 75 | 	const rows = await getPrisma().modmailConfig.findMany({
  76 | 		where: { enabled: true, channelId: { not: null } },
  77 | 		select: { guildId: true },
  78 | 	});
  79 | 	return rows.map((r) => r.guildId);
  80 | }
  81 | 
  82 | export interface ModmailTarget {
  83 | 	guildId: string;
  84 | 	shardId: number;
  85 | }","model ModmailConfig {
  guildId      String   @id
  channelId    String? // staff parent channel where modmail threads are created
  enabled      Boolean  @default(false)
  appealOnly   Boolean  @default(false) // only members with a moderation case may open a thread
  blockedUsers String[] @default([]) // user ids barred from opening modmail
  createdAt    DateTime @default(now())
  updatedAt    DateTime @updatedAt
}",no,,,,,,
R01-019,AstorisTheBrave/Rostra,6a7e5ecf03be068c3f3cb3cc4b14a45dae543925,MISSING_PAGINATION,Unpaginated `reactionRolePanel.findMany()`,"`reactionRolePanel.findMany()` in `listPanels` has no `take`, `skip` or `cursor`, so it returns every ReactionRolePanel row matching its filter.",src/modules/reactionroles/service.ts,42,,"  32 | 	mode: string,
  33 | ): Promise<ReactionRolePanel> {
  34 | 	return getPrisma().reactionRolePanel.create({ data: { guildId, title, mode } });
  35 | }
  36 | 
  37 | export async function getPanel(id: string): Promise<ReactionRolePanel | null> {
  38 | 	return getPrisma().reactionRolePanel.findUnique({ where: { id } });
  39 | }
  40 | 
  41 | export async function listPanels(guildId: string): Promise<ReactionRolePanel[]> {
> 42 | 	return getPrisma().reactionRolePanel.findMany({ where: { guildId } });
  43 | }
  44 | 
  45 | export async function addRole(id: string, role: PanelRole): Promise<PanelRole[] | null> {
  46 | 	const panel = await getPanel(id);
  47 | 	if (!panel) return null;
  48 | 	const roles = parseRoles(panel).filter((r) => r.roleId !== role.roleId);
  49 | 	roles.push(role);
  50 | 	const updated = await getPrisma().reactionRolePanel.update({
  51 | 		where: { id },
  52 | 		data: { roles: roles as unknown as object[] },","model ReactionRolePanel {
  id        String   @id @default(cuid())
  guildId   String
  channelId String?
  messageId String?
  title     String
  mode      String   @default(""multiple"") // multiple | single
  roles     Json     @default(""[]"") // [{ roleId, label, emoji? }]
  createdAt DateTime @default(now())

  @@index([guildId])
}",no,,,,,,
R01-020,AstorisTheBrave/Rostra,6a7e5ecf03be068c3f3cb3cc4b14a45dae543925,MISSING_PAGINATION,Unpaginated `reminder.findMany()`,"`reminder.findMany()` in `listUserReminders` has no `take`, `skip` or `cursor`, so it returns every Reminder row matching its filter.",src/modules/reminders/service.ts,45,,"  35 | }): Promise<Reminder> {
  36 | 	return getPrisma().reminder.create({ data });
  37 | }
  38 | 
  39 | export async function getReminder(id: string): Promise<Reminder | null> {
  40 | 	return getPrisma().reminder.findUnique({ where: { id } });
  41 | }
  42 | 
  43 | /** A user's pending reminders in a guild, soonest first. */
  44 | export async function listUserReminders(userId: string, guildId: string): Promise<Reminder[]> {
> 45 | 	return getPrisma().reminder.findMany({
  46 | 		where: { userId, guildId },
  47 | 		orderBy: { dueAt: ""asc"" },
  48 | 	});
  49 | }
  50 | 
  51 | /** Delete a reminder only if it belongs to the user. Returns whether one was removed. */
  52 | export async function cancelReminder(id: string, userId: string): Promise<boolean> {
  53 | 	const result = await getPrisma().reminder.deleteMany({ where: { id, userId } });
  54 | 	return result.count > 0;
  55 | }","model Reminder {
  id        String   @id @default(cuid())
  userId    String
  guildId   String
  channelId String
  message   String
  dueAt     DateTime
  createdAt DateTime @default(now())

  @@index([guildId])
  @@index([userId])
}",no,,,,,,
R01-021,AstorisTheBrave/Rostra,6a7e5ecf03be068c3f3cb3cc4b14a45dae543925,MISSING_PAGINATION,Unpaginated `reminder.findMany()`,"`reminder.findMany()` in `getPendingReminders` has no `take`, `skip` or `cursor`, so it returns every Reminder row matching its filter.",src/modules/reminders/service.ts,63,,"  53 | 	const result = await getPrisma().reminder.deleteMany({ where: { id, userId } });
  54 | 	return result.count > 0;
  55 | }
  56 | 
  57 | export async function deleteReminder(id: string): Promise<void> {
  58 | 	await getPrisma().reminder.deleteMany({ where: { id } });
  59 | }
  60 | 
  61 | /** All reminders, optionally scoped to a guild (used to reschedule on boot). */
  62 | export async function getPendingReminders(guildId?: string): Promise<Reminder[]> {
> 63 | 	return getPrisma().reminder.findMany({
  64 | 		where: guildId ? { guildId } : {},
  65 | 	});
  66 | }","model Reminder {
  id        String   @id @default(cuid())
  userId    String
  guildId   String
  channelId String
  message   String
  dueAt     DateTime
  createdAt DateTime @default(now())

  @@index([guildId])
  @@index([userId])
}",no,,,,,,
