finding_id,severity,confidence,fingerprint
R01-031,HIGH,MEDIUM,718139044c0e38291b142b3443a67c7d
R01-032,HIGH,MEDIUM,41f4ed2fbebaa48ee3aad2337fd8d872
R01-033,MEDIUM,HIGH,624102211d80671a361b03b8988f8417
R01-034,MEDIUM,HIGH,214b165eb4d06ac5d16b5c8e3ce94310
R02-001,MEDIUM,HIGH,92362a6e4a2dda40a3c0f23df35361bb
R02-002,MEDIUM,HIGH,86cde160e3d07401659b4e13706aafa4
R02-003,MEDIUM,MEDIUM,18a69c583109f645418ff99704f56823
R02-004,HIGH,MEDIUM,4f23b8d4909f120c2941ee7f78a44741
R03-001,MEDIUM,HIGH,0c9f66e825bd5c5640d247e8679a5184
R03-002,MEDIUM,MEDIUM,0c652fa68e2d623c80624bd6d63fd0d9
R04-001,MEDIUM,MEDIUM,5847c36b49ed394c7693777ea98bfb1f
R04-002,MEDIUM,MEDIUM,8d7176b0fb7467fe9b1de0f3b331e921
R04-003,MEDIUM,HIGH,8821c941d9f7dc20205dd3d2898b766b
R04-004,HIGH,MEDIUM,b0c0cd3b15d523ffbde500fd33fb97e8
R04-005,HIGH,MEDIUM,2239c1e835bbc5a48b9bfcf8615065f3
R04-006,HIGH,MEDIUM,8120f1c9faf2d65c1db02e91f6f5878e
R04-007,HIGH,MEDIUM,203bdd5111f7350f7afebafa6bfade52
R04-008,HIGH,MEDIUM,114bfea5e504ce4399b1c812af9c5c05
R04-009,MEDIUM,MEDIUM,5c214ccdff99c24071ebb8c4147eb0e5
R04-010,HIGH,HIGH,ccfe93a4ba72d2668999df45f03d799a
R04-011,HIGH,HIGH,811d6405ef129d61634fd771827fb804
R04-012,MEDIUM,MEDIUM,40cb52ba5f20019e9200875d679378fe
R04-013,MEDIUM,MEDIUM,b7251f4b71105f271eead43d029ed5f9
R04-014,MEDIUM,MEDIUM,ea7b8916d81fbdce64ea478c6784c6d2
R04-015,MEDIUM,MEDIUM,08145ecd9a44baca7f2145f51737a221
R04-016,MEDIUM,MEDIUM,42b1d84fda550a7a5e548eebebb123c5
R04-017,MEDIUM,MEDIUM,6f79d707e97e2d109e71dce45c533cba
R04-018,MEDIUM,MEDIUM,38fe7df01ac245019ac841ec0cf61867
R04-019,MEDIUM,MEDIUM,10bc74d1e2f33d7a7df9ea8b74fc5fa4
R04-020,HIGH,MEDIUM,7d53c8ea1c624cd5f5a9ed99be41c1b7
R04-021,MEDIUM,MEDIUM,6a9bb5ece30dc56220b8c1b2c40211fa
R04-022,MEDIUM,MEDIUM,b69f9538cd6f63b38e4d24a586396b60
R04-023,MEDIUM,MEDIUM,da352ef7a9b9c325dc6b39b554f83a56
R04-024,MEDIUM,MEDIUM,ff201202a3850986d02dd8457347a39a
R04-025,MEDIUM,MEDIUM,c42b871bca2774076735267dd6199fd6
R04-026,MEDIUM,MEDIUM,a5b6ee617ce9efc55058e4cf8225717d
R04-027,MEDIUM,MEDIUM,83ec5a05a938af99e542421a004c481f
R04-028,MEDIUM,MEDIUM,dc52c0e569dfc73b777786b35aa748a3
R04-029,MEDIUM,MEDIUM,c5718191a4668e690adbcb5505313fc4
R04-030,MEDIUM,MEDIUM,04c070a2b2c66393ddfaa4c72c248735
R04-031,MEDIUM,MEDIUM,df43ad4c26f8825adf8f38fd10a1c485
R04-032,MEDIUM,MEDIUM,0e777e7954ce396c7dce3c1975f453e3
R04-033,MEDIUM,MEDIUM,d6df8d6b0c597ca6d592a70e111d46c1
R04-034,MEDIUM,MEDIUM,50a28fd590e914acb0cf6508fb109085
R04-035,MEDIUM,MEDIUM,66ecc79e9e916dd2077bc087ba780792
R04-036,MEDIUM,MEDIUM,1f2697de985d48177d02e7fa0423e3b3
R04-037,MEDIUM,MEDIUM,aac14dea882bfb165944b45dea1ba4e3
R04-038,MEDIUM,MEDIUM,961be2cd1d6a387db560afb144d4d14a
R04-039,MEDIUM,HIGH,9f99efdb519a1bd002664ecf696414d6
R04-040,MEDIUM,MEDIUM,7917d95289d2f477c6a132e6f62fdcd8
R04-041,HIGH,HIGH,949923cb57aaeb36f7d48b98cbbada0d
R04-042,MEDIUM,MEDIUM,90616865a26de9e59a77b5f327f14e43
R04-043,HIGH,MEDIUM,e1d52e7ff421c2a3a28cc12dbad0a27c
R04-044,HIGH,MEDIUM,9f2072693bf9b535bc3ee89d6fb25763
R04-045,MEDIUM,MEDIUM,e67b9f9434f8b33b668a0679c9da8f44
R04-046,MEDIUM,MEDIUM,9647dacd6279025376826d05b6157aef
R04-047,MEDIUM,MEDIUM,698535b1f977a09ad18aa5d35d52d1fa
R04-048,MEDIUM,MEDIUM,e9be9738390b3f30eec33829da4abadb
R04-049,MEDIUM,MEDIUM,f3c73bbf65c33bc04875996627d29923
R04-050,MEDIUM,MEDIUM,024e810dca3d849b6ddbc50cab19841e
R04-051,MEDIUM,MEDIUM,a8b12bffb27c24b7be3143d3105225fa
R04-052,HIGH,MEDIUM,78e19b836221d597367e863e2d4a0b4f
R04-053,HIGH,MEDIUM,01bb8dd6f7e23f71e99945601f79194e
R04-054,HIGH,MEDIUM,f893fbd49ca4eb22926e907ffe778330
R04-055,MEDIUM,MEDIUM,1bbd945bcdaf5e6bdb43aa451f6c7901
R04-056,HIGH,MEDIUM,16948646184d31fe59296536af062035
R04-057,MEDIUM,MEDIUM,d63b600c0f47479d39ad4fed7d194d14
R04-058,MEDIUM,MEDIUM,951c372a7d87668a86ed909febeddf36
R04-059,MEDIUM,MEDIUM,077b6a76176841e74c12387adfc10abf
R04-060,MEDIUM,MEDIUM,6f7af30fee2ba0f120511d87a23150b7
R04-061,MEDIUM,MEDIUM,595fb744b8af0cd2d4234b7708760a71
R04-062,MEDIUM,MEDIUM,05bedba1e928bbde6e46237d38a233d4
R04-063,MEDIUM,MEDIUM,66557814f277f87a5d94c105e820cd80
R04-064,HIGH,MEDIUM,fc3db9cb4352de99a3e501118feac609
R04-065,MEDIUM,MEDIUM,bf43e9dac55310e1332c353f032ccc3a
R04-066,MEDIUM,MEDIUM,d121fb670bc3a7284d9c153b6fd00c7b
R04-067,MEDIUM,MEDIUM,f0146c91affbf0cce1e6a61ab2b67498
R04-068,MEDIUM,MEDIUM,cda0371d3248c7367dc8bdedf4f18a8b
R04-069,MEDIUM,MEDIUM,06d10b8f0c3806479e35885bccf3aef7
R04-070,MEDIUM,MEDIUM,4b1dd9b96d040424c96022a6385263c3
R04-071,HIGH,MEDIUM,2ab78b077926092b0b198da818c011de
R04-072,MEDIUM,MEDIUM,9c7f09e8da41c319b2b6ac5d4df3df11
R04-073,MEDIUM,MEDIUM,fc2f6592fe038f3ac92dc939e3f30300
R04-074,MEDIUM,MEDIUM,152084aea8e27512cb790f3f4be3766a
R04-075,MEDIUM,MEDIUM,d8aee877d63e8d6d3f9ec17613111cdf
R04-076,HIGH,MEDIUM,0e90e474b4f01d041e9bb11b17d1fc1b
R04-077,HIGH,MEDIUM,024eb53cb6a327aabe2e84dd5cd9774f
R04-078,HIGH,MEDIUM,78201a3f67609266e37b557c1c764cf1
R04-079,MEDIUM,MEDIUM,dfbdb61bfad96d4df50c22dda2534b90
R04-080,MEDIUM,MEDIUM,cfda3ae73e615b63d4c1c8ebe337e683
R04-081,HIGH,MEDIUM,5d488ed5746ed330d4cf062395f58bfc
R04-082,HIGH,HIGH,99669397e949b74a4c77e0d46f14ae43
R04-083,HIGH,HIGH,b7370c3cf86dce6570adbcea9332632f
R04-084,MEDIUM,MEDIUM,31756c53de4fa4e5996ecc1e9f85820e
R04-085,HIGH,MEDIUM,703eb78d25f930fc581ae52d796773f3
R04-086,MEDIUM,MEDIUM,78af2d32243bb05e00a8ea9d3f72a6c9
R04-087,HIGH,MEDIUM,e79054711cbe52f856436910e4967f34
R04-088,MEDIUM,MEDIUM,742ec8400a12fabdd8893f3d5c850b03
R04-089,MEDIUM,MEDIUM,5071fc29ef421d8742cbdd0876ac5dd2
R04-090,HIGH,HIGH,b007fb9f7cf29eab4f3ea15f711119b9
R04-091,HIGH,HIGH,84ea76014f0d3805f4a9d4db2cd617fa
R04-092,HIGH,HIGH,7cf37f79f05c7b55c365a73d00d1da41
R04-093,HIGH,HIGH,9cd98cee7289f5167f17111d7cafb896
R04-094,MEDIUM,MEDIUM,f954df91c3acc9573e3f805a2dca7179
R04-095,HIGH,HIGH,4d8d6175ede06a904c08893887937021
R04-096,HIGH,HIGH,159e4694e4dbc0a11e5a20e11e99079b
R04-097,HIGH,HIGH,70e4dcc68bf3e5defe1e6c375c1a4347
R04-098,HIGH,HIGH,87d144b6697100b768b233e1ceab6694
R04-099,HIGH,HIGH,4d79cce6a6b38167721776348a490ced
R04-100,HIGH,HIGH,d3dc47315c4340d55669512a10017d62
R04-101,HIGH,HIGH,94abddf98c926799a3327b1ef03a3161
R04-102,HIGH,HIGH,b75cee22aeec87210bcd259d0963eab4
R04-103,HIGH,HIGH,aac2d9dbf182610be866afbc97472546
R04-104,HIGH,HIGH,32b5b46d58a632d8d7f4519effd665f1
R04-105,MEDIUM,MEDIUM,f11169eda7a624f9ce952bd66dd0497d
R04-106,MEDIUM,MEDIUM,5772152d60675485e7ef12eacb5754cf
R04-107,MEDIUM,MEDIUM,1e465a7b218d95e7602a9036b8911d92
R04-108,MEDIUM,MEDIUM,6f1a173936e268b53b1cafaa0823a052
R04-109,MEDIUM,MEDIUM,1f6a30f03ffab427b5b978f63082ac61
R04-110,MEDIUM,MEDIUM,7e389f0a38f440237e63187a0ebfcc9f
R04-111,MEDIUM,MEDIUM,614beb3d950104ea0bfb37a7e001d26d
R04-112,MEDIUM,MEDIUM,d45e61584431d9e526f1a7164bbee1a0
R04-113,MEDIUM,MEDIUM,62277f60a45f602a1bda7f83d17e2f79
R04-114,MEDIUM,MEDIUM,2b659e5d2ae27e32df8231b3474097f2
R04-115,MEDIUM,MEDIUM,d89d658dac5476d70c880c7aee125d5f
R04-116,MEDIUM,MEDIUM,bc5e708afc8faca8b0df3dbaed671b4c
R04-117,MEDIUM,MEDIUM,dc22d754767640e8bf3414b2932d5876
R04-118,HIGH,MEDIUM,df92d8cfa6daa659a84ab62fdb0c2459
R04-119,MEDIUM,MEDIUM,52d5f245da3357e7363077c05e982933
R04-120,MEDIUM,MEDIUM,4275d183d937f654612f213b860638fb
R04-121,MEDIUM,MEDIUM,20b610b2fb6dfd95992faabacd2e6502
R04-122,MEDIUM,MEDIUM,7731dc696d17520214d275d873371603
R04-123,MEDIUM,MEDIUM,16acad47ca9f87daf2516c839a57c694
R04-124,MEDIUM,MEDIUM,8dee2e2385f2cdcd516baa42866a8a1f
R04-125,MEDIUM,MEDIUM,995dc7a082b9dd65c18d733e551e7fbc
R04-126,MEDIUM,MEDIUM,0e95d9d065628cc88eff93aabae501b6
R04-127,MEDIUM,MEDIUM,526a83ac76b08bb715b02c5d64ab3194
R04-128,MEDIUM,MEDIUM,f563f56571b4176e77e49627ae932dd4
R04-129,MEDIUM,MEDIUM,7aac61c271ef22106f5f787c5be6dadd
R04-130,HIGH,MEDIUM,4dd1886e0460986d61eed3eae79684cc
R04-131,HIGH,MEDIUM,53174a33ad08294d37189cdbbf2da416
R04-132,MEDIUM,MEDIUM,583f5d91e97a91d57bad0f40f6dd0963
R04-133,HIGH,MEDIUM,bd0d06469f1e4616bf1913a530798e98
R04-134,MEDIUM,MEDIUM,d3e85e56a97a44f2d316eb6f4f6de40b
R04-135,MEDIUM,MEDIUM,b91f393ce0bb3516b572d97c389655b4
R04-136,MEDIUM,MEDIUM,b59621bc30af229920fc1a912a13f3ea
R04-137,MEDIUM,MEDIUM,1c9e62b9ac731df4b210203a0d8db79f
R04-138,MEDIUM,MEDIUM,86e675573a68aee2185ee875e8efb57f
R04-139,HIGH,MEDIUM,f43c3017b1a0ba46cee65ab895829f80
R04-140,MEDIUM,MEDIUM,9e77e0d02470f39c7ca129b72d5ae9b1
R04-141,HIGH,MEDIUM,a8457586b1a1dd89a223318e451daf4c
R04-142,MEDIUM,MEDIUM,753fb04b5ba16940328edadcae26cb5b
R04-143,MEDIUM,MEDIUM,a0aaaca9d07ff9059e13e764d0f7b2cf
R04-144,MEDIUM,MEDIUM,e0f546be77b72fee89cef99c2782bc7b
R04-145,MEDIUM,MEDIUM,a36443cc8b89dde57ae51318ed8cf1b1
R04-146,MEDIUM,MEDIUM,27124bea0e8cbab40a9ea72e9b7a10d4
R04-147,HIGH,MEDIUM,d556527c5526d638cdb09ed9f690a1b2
R04-148,HIGH,MEDIUM,5fc850aea65599ae0be1cd8372190e67
R04-149,MEDIUM,MEDIUM,3bf1bc07887363e592c9799d31c4de40
R04-150,MEDIUM,MEDIUM,e20384ba851971a06990fef05adfbb7c
R04-151,HIGH,MEDIUM,7b2436166adf38578c29a5a418c9aa43
R04-152,MEDIUM,MEDIUM,509fdab9e770d36cb46fbbd2598fd566
R04-153,MEDIUM,MEDIUM,aaedc02c700c6ce0d306e5274d028955
R04-154,MEDIUM,HIGH,16ca1bb02abcc25bc4312189eed3b5c6
R06-001,MEDIUM,HIGH,3eab2483ce5c748ed5fe65c3b95fab32
R06-002,HIGH,MEDIUM,0ce37bc2b71125e21d12f94bafa097ae
R06-003,HIGH,MEDIUM,24568cb47feee14944707cd2d6986416
R06-004,HIGH,MEDIUM,48f9c70f8c9e73898cf98e099f085262
R06-005,HIGH,MEDIUM,618336a0e4165419451918acdfd656b0
R06-006,HIGH,MEDIUM,6969724225894554ac31cee791d2032c
R06-007,HIGH,MEDIUM,b41ad44a7658586926f510770d8b8e0c
R06-008,HIGH,MEDIUM,3135ca27bdd4bf59859c22e71f054142
R06-009,HIGH,MEDIUM,6761cbb7dd8d8dcd96b29110f7f2de91
R06-010,HIGH,MEDIUM,409c6a2e99f650f971bcfaee79d6fd1c
R07-001,HIGH,MEDIUM,de63df4286b8ca1915e5032f064bb4d4
R07-002,HIGH,MEDIUM,72051d7259b96dce0d656fd282c96255
R07-003,MEDIUM,MEDIUM,e89ed13f6d29422f526b3263010c7c10
R07-004,HIGH,MEDIUM,2c371769e2824c9343823e004aca6338
R07-005,MEDIUM,MEDIUM,ff75d5944df74d882df5ea2251c9297e
R07-006,MEDIUM,MEDIUM,01c775d3b85c64ee1fa050d220fcff28
R07-007,MEDIUM,HIGH,eae5c778080a59f4e7577682e02eb0d3
R07-008,MEDIUM,MEDIUM,8b9c45552ace5b27a0bdd1fd7d9dc142
R08-001,HIGH,MEDIUM,bdb71192d5f09f0d5d22a835dd168c28
R08-002,HIGH,MEDIUM,51303011443e816053858bfbc0280681
R08-003,MEDIUM,HIGH,7295aa4db483a4f1a768fcbaa8643e79
R08-004,HIGH,MEDIUM,0d10014b8606361055a815f96ffaa537
R08-005,MEDIUM,MEDIUM,086bf4e7601eba46a806e362bf10849e
R08-006,MEDIUM,HIGH,56641e936b95b4f60042519c7dacccea
R09-001,HIGH,MEDIUM,cadc888cb50369fae845fddaaede2790
R09-002,MEDIUM,MEDIUM,16ca7bfbb6cae18e75dd43ad266a970c
R09-003,MEDIUM,MEDIUM,6df25d08e13c873ab851eac955c8d516
R09-004,MEDIUM,HIGH,ee2c211a61b80e166a40c7fbde2703b0
R09-005,MEDIUM,MEDIUM,b811e05636f2f45920735063c25ede63
R09-006,MEDIUM,MEDIUM,3e1ca4123dd77c16d1ccc0a5a8989908
R09-007,MEDIUM,HIGH,fad0d6801b4e3c52da99201467048409
R09-008,MEDIUM,MEDIUM,475acbe5bec3e0bdb4305eb4ffa199ca
R09-009,MEDIUM,MEDIUM,6fd2be021275ec7301872bd0c5d9c94e
R09-010,MEDIUM,HIGH,e512727dcd52934e36470d3dfc5c7d69
R09-011,MEDIUM,MEDIUM,6ddaccb975aecaf4c828772f65a215f2
R09-012,MEDIUM,MEDIUM,963c395a5391e54d68f785effbcf0fed
R09-013,MEDIUM,HIGH,702739b707f7e8c363cc59e5299b5e81
R09-014,MEDIUM,MEDIUM,f12b994a8ca2a9a3f4ac522a5a63cdf3
R09-015,MEDIUM,MEDIUM,f397a5fd32d568ca9e2c47d05a990b77
R09-016,MEDIUM,MEDIUM,d9b50eb1398a28cec28777ed33cfc4e8
R09-017,MEDIUM,MEDIUM,b6e249994962a11615e6eee72e8fbb3a
R09-018,MEDIUM,MEDIUM,787f256932a944b91fc7eb36a813b307
R09-019,MEDIUM,HIGH,7a9b65d0e7204ab9a8bf3631c7199afb
R09-020,MEDIUM,MEDIUM,97ed66937fb1925754e64091e9af506f
R09-021,MEDIUM,MEDIUM,bf9d63cfcd2b4a8cbb8f6e29db0db489
R09-022,MEDIUM,MEDIUM,c552d53224f32bff6a77879e5eccf96c
R09-023,MEDIUM,MEDIUM,098ea254f5b54f7e851a93a1693078c6
R09-024,MEDIUM,MEDIUM,6717ed6888b7126c921adab4807ac136
R09-025,MEDIUM,MEDIUM,8f48f2b2a226c7bba4b26083fda0abb5
R09-026,HIGH,MEDIUM,b836ec7107e0091e8fce14e63e13f596
R09-027,HIGH,MEDIUM,762b796127b33bc598dac9e0919dd2ab
R09-028,HIGH,MEDIUM,6e0a79a40951bbd0416b8f899d486fff
R09-029,MEDIUM,MEDIUM,51f9f7a16bad67ee30aa2a68b80c812a
R09-030,MEDIUM,MEDIUM,cc4a58396029ff64cf066204ce1fa48f
R09-031,HIGH,MEDIUM,4da01191618d18d018d3fe583a3e4fa6
R09-032,HIGH,MEDIUM,28fbf917e3de008c21cf045fe4a61d76
R09-033,MEDIUM,MEDIUM,2d490efcb95c2c33d9d958660756b452
R09-034,MEDIUM,MEDIUM,2390bc7c3a9dec99cad8ddee52c06058
R09-035,HIGH,MEDIUM,d01029f95bee4115bc0422a0773cfdd1
R09-036,MEDIUM,MEDIUM,72ba875abd2d889b2cad286c7843fbba
R09-037,HIGH,MEDIUM,0e14e4bbc81460792e37f9313c560c32
R09-038,HIGH,MEDIUM,c02df2a4ddc27dbbe35dd9a913b5f55b
R09-039,HIGH,MEDIUM,0dfc345ceecdb262a5b22f1d26edd822
R09-040,HIGH,MEDIUM,85336bb8c21c3f9c7af25cb63f017e80
R09-041,MEDIUM,MEDIUM,0e0aa747dae28dd7700d0495ee9ebf32
R09-042,MEDIUM,MEDIUM,b1312537be11ae2384005d1c9fcd0fb3
R09-043,MEDIUM,MEDIUM,0fbe83f971862483d4b39d1aa0343903
R09-044,HIGH,MEDIUM,6ee429f97600491756938c6398380d71
R09-045,HIGH,MEDIUM,28b15e941784f8c727efa17d05df8d10
R09-046,HIGH,MEDIUM,02dbe4d8e3502c418293005181320931
R09-047,HIGH,MEDIUM,a5ab087b1adaa1db81f65256f461b59e
R09-048,HIGH,MEDIUM,8ffd6ed6de3c8330aeea20340cac8ad5
R09-049,HIGH,MEDIUM,89cf63705b9e05275d7ec9861d470177
R09-050,MEDIUM,MEDIUM,582d3bf7d4036233a2a0524e269ebbb5
R09-051,HIGH,MEDIUM,f7a4bee598f3a4ffb87a0ac9f8d29f17
R09-052,HIGH,MEDIUM,2eccfb88db2c60779745fac513dfbec1
R09-053,HIGH,MEDIUM,2dd19f96a98686dd9565d16b4a44e6ff
R09-054,HIGH,MEDIUM,3c330b161b98a1607daae8f87bc3802b
R09-055,MEDIUM,MEDIUM,2d11e3233d97351406ce2e574369c3c6
R09-056,HIGH,MEDIUM,df26fb20892a29b1c834d265a7b5c694
R09-057,MEDIUM,MEDIUM,e216736272b4e8db53290ac4f5df82de
R09-058,HIGH,MEDIUM,64186c5f478c78ee48b9904c0dde66fb
R09-059,MEDIUM,MEDIUM,0284c988c8cada218661ca519b7c8151
R09-060,HIGH,MEDIUM,fd1bc55c51b5e191716f0d85ab89fa74
R09-061,MEDIUM,MEDIUM,708d69b72ab81acee4a7fb4d9609b4d4
R09-062,HIGH,MEDIUM,73f61b5b594031171fe3cb1978c7de5c
R09-063,MEDIUM,MEDIUM,57d7c789844e2487898254ddedb1d5fa
R09-064,HIGH,MEDIUM,d4df4ae82fa2caffb5bbabaf6fa15ea5
R09-065,MEDIUM,MEDIUM,10fb888fb6b7027bb643faa0e1fd5fb6
R09-066,MEDIUM,MEDIUM,947d123b83e49ebfb29060bc38f51fcd
R09-067,MEDIUM,MEDIUM,7165f587adbb1b8f1eeb2d44a5ad109d
R09-068,MEDIUM,MEDIUM,970b6cb0fea049b9e9e9264d8a5177a5
R09-069,HIGH,MEDIUM,dbb31e269177c23e189cf64bad7e0e47
R09-070,MEDIUM,MEDIUM,1d5b6e05fd72b7dbe7ef120ed467cd8d
R09-071,MEDIUM,MEDIUM,56bdf32524031c85a97155780d58e332
R09-072,MEDIUM,MEDIUM,3503bb3120109be42cff5f436fd277c2
R09-073,MEDIUM,MEDIUM,80137f866e698b0a499ac646ca728381
R09-074,MEDIUM,MEDIUM,19862aa0f0c5bb078b30cfd0fde42f34
R09-075,HIGH,MEDIUM,a72bd96b7a56bc0558af8f4e832f7d0e
R09-076,HIGH,MEDIUM,1554ef84875088a1f25cd8f1107c8bb4
R09-077,HIGH,MEDIUM,bf701caf8e27cac0319f1e8d93dc823b
R09-078,HIGH,MEDIUM,f87a2bb8fe4c8094f2fe311d472ac292
R09-079,MEDIUM,MEDIUM,49d089d7e1af4cc857c54827b39dc1ea
R09-080,MEDIUM,MEDIUM,5245eea7e7a65cc90df586941365ad9d
R09-081,HIGH,MEDIUM,b490fc178bb91b5e71d1b040fc45837f
R09-082,MEDIUM,MEDIUM,4f0e19c291bb4c23c52ce38a2ddb6f7c
R09-083,HIGH,MEDIUM,7ae8cb4b3838aa78780c6e336a639f5c
R09-084,HIGH,MEDIUM,87d00be59408fb82f07d233b582f2c0c
R09-085,MEDIUM,HIGH,7f12c50ecb804d75b1647d1455d080f7
R09-086,HIGH,MEDIUM,3167614f635afde9f400bdfb22cd7bc7
R09-087,HIGH,MEDIUM,2771d4e65c6dc64bb30a054860701d0b
R09-088,HIGH,MEDIUM,1149723d3120fe516a574b75c807ed5a
R09-089,MEDIUM,MEDIUM,c8fe11a1bbab6b492911448c522d848a
R09-090,MEDIUM,MEDIUM,3722d7f52a38cf91cfb590c3e392c1b2
R09-091,MEDIUM,MEDIUM,b20e5b42d658ef01d0c36d6e563aa908
R09-092,MEDIUM,MEDIUM,a53e4c8c5b8d7c69b60a611b98297246
R10-001,HIGH,HIGH,070db52592bddb3a035d2dcba3bac80b
R10-002,HIGH,MEDIUM,ba32664ef84921f53e9cdea95f8af780
R10-003,MEDIUM,MEDIUM,5af9e9d1e49b4c263fadcf3a1732a33b
R10-004,HIGH,MEDIUM,354193b1c9520454be95bb361d9001af
R10-005,HIGH,MEDIUM,27b0dd2ea3bda1a7453b8c89cb22f85a
R10-006,MEDIUM,MEDIUM,43ca362d30ef8d7ae099242f4804a298
R11-001,MEDIUM,MEDIUM,3244c6df5d53b14750fb4df240efa909
R11-002,MEDIUM,MEDIUM,04262b2729f48e34db427c4cf31aee24
R11-003,MEDIUM,HIGH,5751362972e327f96048e10606d049a7
R13-001,MEDIUM,MEDIUM,795f3b446aed93935dace8f1fcf31a70
R13-002,MEDIUM,MEDIUM,b9d3be33b0a4fe06b4c94bf587f8be43
R13-003,MEDIUM,MEDIUM,c58c48a9117195c74d624d1a9caf07ca
R13-004,MEDIUM,MEDIUM,497f2a4e003fec15a6c130adc4454b25
R13-005,MEDIUM,MEDIUM,4ee1e07227eb45837a8fed0a4e18b4d2
R13-006,HIGH,MEDIUM,de5d445055a87a40ab037c198b94bce5
R13-007,HIGH,MEDIUM,1bdc3613dc98c61ad8fd413166012181
R13-008,MEDIUM,MEDIUM,ccd46e832e7a8f63eda6cdd2b76455fa
R13-009,MEDIUM,MEDIUM,e600aa9179af5e0a715ca01368565850
R13-010,MEDIUM,MEDIUM,39445f7ca7a298c2aa675a440a7b8ba9
R13-011,MEDIUM,MEDIUM,b125f9e85045c24dae160c4258e17d2c
R13-012,HIGH,HIGH,8db701433431f27bea0eeb1f689921e7
R13-013,HIGH,MEDIUM,1edbf74d62044f1fc83e9ef690d5e6bd
R13-014,MEDIUM,MEDIUM,e40c5859b0397af7beb30e73fe5e580a
R13-015,MEDIUM,MEDIUM,64d3facaaeb7f69f222e7bc6bfd1dec8
R13-016,MEDIUM,MEDIUM,6f5648c3fc59b1e652ae2fc200dd9051
R13-017,HIGH,MEDIUM,29697c5c77cdb452a389d39ba84352b6
R14-001,HIGH,MEDIUM,62f2580f3baff8aa29019c7332538641
R14-002,HIGH,HIGH,6147faa1c10d914090dc65539d789eb0
R14-003,HIGH,HIGH,8a3d865668c619c3d708b1cc71d94c95
R14-004,HIGH,HIGH,c11eae51dcc59805b201ae8bd57bcf41
R14-005,HIGH,HIGH,78aff2519c80151bd15ead1e79c1b967
R14-006,HIGH,HIGH,7c1097ec2dd642870e26535bdb39cbe2
R14-007,HIGH,HIGH,005ff54bc3b59a2578f2b145c44baf2b
R14-008,HIGH,HIGH,b6f8b09e938bb7979b398a127d8cea6c
R16-001,HIGH,HIGH,5054123e80a5c1a4e8b72494bb5045d5
R16-002,HIGH,HIGH,8135563996b423db09f993ba6bb8d76e
R16-003,HIGH,HIGH,95322fb8eef8231cfcf61297c2a3fb7b
R16-004,HIGH,HIGH,2cf77cc8a2c428723da4a1826332f63a
R16-005,HIGH,HIGH,3a6804005fb60a89b111a8c5cb707cf7
R16-006,HIGH,HIGH,2f8f47e170d402192f7659c81206c7c2
R16-007,HIGH,HIGH,9db69373228df2a0209d4f41652b2869
